Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-13T15:30:00Z,2024-03-13T17:00:00Z,Awakening Yoga • Weekly Class • Valladolid,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-valladolid-tickets-402645622897,valladolid
NA,Sold out,No se hacen reembolsos,"Las carreras musicales de Antonio Serrano y Josemi Carmona, cada uno en su género, son un punto de referencia para una nueva generación de músicos.Este proyecto ofrece al público una nueva mirada de la música española, en una auténtica fusión al ritmo de la armónica y la guitarra flamenca de la mano de dos artistas excepcionales con temas de Paco de Lucía o Lorca y otros autores esenciales. Antonio Serrano. Armónica.Josemi Carmona. Guitarra flamenca.",15.02,15.02,EUR,A.C. Suspiros del Masegar,https://schema.org/EventScheduled,2024-03-09T19:00:00Z,2024-03-09T21:00:00Z,Antonio Serrano y Josemi Carmona,Este proyecto ofrece al público una nueva mirada de la música española.,https://www.eventbrite.es/e/entradas-antonio-serrano-y-josemi-carmona-783491302577,valladolid
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-13T15:30:00Z,2024-03-13T17:00:00Z,Awakening Yoga • Weekly Class • Burgos,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-burgos-tickets-403096521547,valladolid
1 día 7 horas,Entrada electrónica móvil,NA,"Información del evento: 📅 ¿ Cuándo es? → El 09 y 10 de Marzo. 📌 ¿ Dónde es? → ""Forum Evolución"" | P.º Sierra de Atapuerca, 09002 Burgos 🕑 ¿ Cuál es el horario? → Sábado de 11h a 20h | Domingo de 11h a 18h. ¿ Qué voy a encontrarme? 👔 Una increíble selección de prendas únicas y de calidad clasificadas por nosotros. 🍂 Una amplia variedad de tamaños y estilos adaptados a cada temporada. 💲Un precio único de 35€/kilo: no hay compra mínima. Por ejemplo, una bufanda de 100 gramos costará solamente 3,50€. 🆕 Nuevas prendas durante toda la venta. (Recuerda dejar todo como lo encontraste para que podamos dedicarnos a reponer los percheros con ropa nueva ) ¿ Cómo funciona? ⌛ Reserva tu franja horaria (GRATIS). Por favor, respétala. 🤯 Ven al evento y descubre decenas de percheros clasificadas por categorías. Exponemos más de 100 categorías de ropa y accesorios y más de 10.000 prendas diferentes. ⚖️ Pesa tus artículos en las balanzas que hay repartidas por las salas para que puedas comprobar el precio de tus artículos antes de pasar por caja (recuerda que no hay peso mínimo). 🪞Comprueba cómo te quedan las joyitas que hayas encontrado en nuestros probadores. 😉 ¿ Qué significa una venta Rethink? 💫 Rethink significa promover la moda ética y responsable gracias a dar una segunda vida a la ropa. 👨‍👩‍👧‍👦 Nuestra misión es democratizarla para que se convierta en algo accesible para todos. Es por esto que organizamos ventas efímeras de ropa vintage y segunda mano (por kilos) en las principales ciudades de Francia y España. 🌱 Con nuestro enfoque, queremos ayudar tanto a las personas, como al medioambiente. La industria textil de hoy en día tiene un gran impacto negativo en nuestro mundo, ¡cambiemos juntos nuestra forma de consumir! ¡Síguenos en nuestras redes sociales! Instagram: @rethinkvintagees Facebook: @rethinkvintagees ⚠️ Importante: Reserve sólo una plaza para cada persona, las demás serán eliminadas automáticamente. C ada entrada permite entrar en la franja horaria seleccionada y permanecer dentro del evento el tiempo que desees. Pero por favor, respete la franja elegida.",0,0,EUR,Rethink Vintage,https://schema.org/EventScheduled,NA,NA,Mercado Ropa Vintage - Burgos,El mayor mercado de ropa y accesorios vintage y segunda mano llega a Burgos el 09 y 10 de marzo. ¡Reserva ya tu entrada gratis!,https://www.eventbrite.fr/e/entradas-mercado-ropa-vintage-burgos-835644223367,valladolid
NA,Sold out,Reembolsos hasta 1 día antes del evento,¿Qué incluye tu experiencia? ¡Prepárate para sumergirte en la serenidad con nuestro exclusivo taller de burbuja de baño Sleepy! 🌙✨  Descubre el arte de crear burbujas relajantes que te envuelven en una fragancia tranquila y te preparan para una noche de sueño reparador. 🛁💤  ¡Ven y aprende los secretos para transformar tu baño en un santuario de paz y tranquilidad!  Reserva tu entrada ahora y sumérgete en el mundo encantado del baño Sleepy. 🌟 #TallerSleepyLush,11.09,11.09,EUR,LUSH Gran Plaza,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:00:00Z,Planes en Madrid: Crea tu propia burbuja de baño Sleepy.,¿Buscas planes en Madrid? ¡Crea tus propias burbujas de baño! Un taller cerca de ti con manualidades para niños/as y para toda la familia.,https://www.eventbrite.es/e/entradas-planes-en-madrid-crea-tu-propia-burbuja-de-bano-sleepy-841419758147,valladolid
NA,Sold out,NA,"Disfruta de la mejor experiencia de casino en el casino más grande de España. Gran Madrid | Casino Torrelodones alberga tanto salas de juego con distintas ruletas, mesas donde jugar al blackjack, punto y banca, poker cash, poker electrónico, slots... así como una amplia oferta en hostelería y restauración. Entrada a partir de 15h. (Consulta agenda completa abajo) 📍 Dirección: Autovía A6 (Madrid - A Coruña), kilómetro 29. Torrelodones, Madrid 🅿️ Parking Gratuito Debido a la legislación española, para acceder al Casino es imprescindible ser mayor de 18 años y Debido a la legislación española, para acceder al Casino es imprescindible ser mayor de 18 años y presentar DNI (original). Ciudadanos extranjeros pueden presentar pasporte o documento oficial con fotografía (original). https://www.granmadrid.com/casino-torrelodones",0,0,USD,Gran Madrid,https://schema.org/EventScheduled,2024-03-09T14:00:00Z,2024-03-10T03:00:00Z,Noche en Gran Madrid | Casino Torrelodones,Noche de casino en Gran Madrid |Casino Torrelodones,https://www.eventbrite.es/e/entradas-noche-en-gran-madrid-casino-torrelodones-517703534207,valladolid
