Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contact the organizer to request a refund.,"Date & kick off time may change, please refer to the Ligue 1 fixture list for timings, Google or Official PSG page keep an up to date list here. Tickets will remain valid for the new date/time. All tickets are e-tickets and will be delivered 3-5 days before the match date. Official VIP Hospitality Tickets for Paris Saint Germain Seated just metres away from the goalposts. You will be served a cocktail buffet after the match in the private lounge, complete with its own patio with views of the pitch. The hospitality offer is only post match (nothing pre match and half time) Lounge capacity is 220 people",399,399,GBP,Footy-Legend Tickets,https://schema.org/EventScheduled,2024-03-10T19:45:00Z,2024-03-10T22:30:00Z,Paris Saint-Germain PSG v Reims / VIP Tickets,Official VIP Hospitality Tickets by authorised agency Footy Legend LTD.,https://www.eventbrite.es/e/paris-saint-germain-psg-v-reims-vip-tickets-tickets-773690778947,paris
NA,Sold out,Contact the organizer to request a refund.,"Blast Off Comedy is making the city of love the city of laughs! All of our comedy shows are 100% in English and every show features a different line-up so each show is unique!! The All Stars showcase features the very best from the Paris comedy scene as well as comics touring in Europe! Our past guests have been featured on Comedy Central, Netflix, and Amazon including Mark Normand, Jeff Ross, Sam Tallent, Usama Siddiquee, and Elena Gabrielle. So you never know who's going to pop-in! Why does the ticket cost 1,27€? This small fee reserves your spot at the show and helps us manage the capacity at the venue as seating is limited. And in fact, we don't keep any of this money and it all goes to Eventbrite. The business model of our show is that it is crowd funded 🙂 That means you can enter the show with a very small reservation fee + the purchase of a drink (for the bar) and that you pay what you can after the show to support the artists. This allows people who can't afford to come to a normal ticketed show to experience live comedy at a reasonable price! For those who can afford it, we like to suggest 12€ per person and 7€ for students. Thank you for supporting live comedy!",1.27,1.27,EUR,Blast Off Comedy,https://schema.org/EventScheduled,2024-03-17T20:00:00Z,2024-03-17T21:45:00Z,English Stand Up Comedy - Sundays - Blast Off Comedy All Stars,English Standup Comedy Show in Paris,https://www.eventbrite.com/e/english-stand-up-comedy-sundays-blast-off-comedy-all-stars-tickets-502585836767,paris
NA,Sold out,Contactez l'organisateur pour demander un remboursement.,"Avec la participation exceptionnelle de PHILIPPE LELLOUCHE, parrain du Keren Hayessod, acteur, réalisateur, humoriste. Soirée de Gala au profit des victimes du terrorisme en Israël. Dîner cacher. Dress code : élégant, costume sombre et cravate Participation : 350€ dont 250 euros avec reçu Cerfa.  Facture sur demande. => Coût réel : 185€",350,3500,EUR,Keren Hayessod France,https://schema.org/EventScheduled,2024-03-10T18:00:00Z,2024-03-10T22:30:00Z,Soirée des Héroïnes d'Israël,"Soirée exceptionnelle autour de femmes extraordinaires israéliennes, héroïnes du 7 octobre 2023",https://www.eventbrite.fr/e/billets-soiree-des-heroines-disrael-828386876447,paris
NA,Sold out,NA,"Des humoristes aux univers variés, des découvertes, des sketchs et blagues inédites : c'est ce que le Comédie Café vous propose au coeur de Pigalle. Nous accueillons tous les humoristes; ceux qui feront leur toute première scène comme ceux qui viennent rôder - peaufiner leurs sketchs avant leur spectacle.... Placé sous le signe de la bienveillance, l'entrée se fait sur cosommation et la sortie au chapeau pour les artistes.",0,0,EUR,comediecafepigalle,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T19:40:00Z,Soirée standup - Comédie Café Pigalle,"Au Comediecafepigalle venez retrouver la nouvelle vague du stand-up parisien. Chaque semaine:  du rire, des blagues et du divertissement.",https://www.eventbrite.fr/e/billets-soiree-standup-comedie-cafe-pigalle-787655748547,paris
NA,Sold out,NA,"Salsa & Bachata classes respectively every Thursdays and Mondays by mambo_sum then latino party everyday but Tuesday, closed, @ La Huchette / Bistro27, Saint-Michel (Paris 5e). Cours de Salsa & Bachata, respectivement tous les jeudi & lundi, suivi d'une soirée latino, sauf le mardi, fermé, Huchette/Bistro27, Saint-Michel (Paris5e). En français plus bas:)...! The best Latino place in town, latin American style, Colombian, Dominican:)...! You'll feel like in latin America, and you can start from 4pm:)! Amazing vibe, energy, music, decor, service, soundsystem, drinks:)...! First, chill, dance, socialize:), then classes:), and finally dance, socialize, have fun and drink all night:)! All in Colombian Salsa, Dominican Bachata, Merengue, Reggaeton:)...! 4:00 - 7:00: Latino ambiance, relax, listen to the music, drink, dance if you want:)...! Happy Hours 7:00 - 8:00: Begginers' Dominican Bachata class (Monday),  Colombian Salsa class(​Thursday) 8:00 - 9:00: Intermediate s/Advanced provided by Mambo_sum. Very pedagogue, fun class, English & French speaking:). Happy Hours 9:00 - 2:00 (week days & Sunday): 9:00 - 4:00: (Friday & Saturday): Latino party, Salsa, Bachata, Merengue, Reggaeton (​SBMR) (with DJ Dominicano from Wednesday)! ----------------------------------- Le meilleur endroit latino en ville, style d'Amérique latine, colombien, dominicain:)...! Vous vous sentirez comme en Amérique latine et vous pouvez commencer dès 16:00:)! Une ambiance, une énergie, une musique, un décor, un service, un soundsystem, des boissons... incroyables:)! En premier détends toi, danses, rencontres des gens, ensuite les cours, et enfin dansez, amusez-vous, rencontrez des gens, buvez toute la nuit:)! Tout en Salsa Colombienne, Bachata Dominicaine, Merengue, Reggaeton...! 16:00 - 19:00: Ambiance latino., détends-toi, écoutes la musique, bois, danses si tu veux:)..! Happy Hours 19:00 - 20:00: Cours Débutant de  Bachata Dominicaine (Lundi), Salsa Colombienne ( jeudi) 20:00 - 21:00: Inter/Avancé, assuré par Mambo_sum. Très pédagogue, cours amusant, en français et en anglais:) Happy Hours 21:00 - 2:00 (semaine & dimanche): 21:00 - 4:00 (vendredi & samedi): Soirée latino, Salsa, Bachata, Merengue, Reggaeton (SBMR) (avec DJ Dominicano à partir de mercredi)",0,0,USD,Mambo_sum,https://schema.org/EventScheduled,2024-03-10T15:00:00Z,2024-03-11T01:00:00Z,Salsa & Bachata Class & Latino Party @ La Huchette/ Bistro27 Saint-Michel,"Salsa & Bachata classes  every Thursday & Monday by mambo_sum then Latino party, everyday but Tuesday @ La Huchette / Bistro27, Saint-Michel",https://www.eventbrite.fr/e/salsa-bachata-class-latino-party-la-huchette-bistro27-saint-michel-tickets-706391555157,paris
NA,Sold out,NA,"LCPE24 Welcome to the 24th edition of LCPE, the ultimate gathering for art enthusiasts and creators! Join us at Palais de Tokyo on President Wilson Avenue in Paris, France for a day filled with inspiration, creativity, and connection. Explore the latest trends in the art world, attend workshops led by industry experts, and mingle with like-minded individuals. Don't miss out on this incredible opportunity to immerse yourself in the vibrant art scene of Paris. See you there!",0,0,EUR,L,https://schema.org/EventScheduled,2024-03-11T19:00:00Z,2024-03-11T20:00:00Z,LCPE24,"Get ready for LCPE24 - a full day of fun, learning, and networking with like-minded individuals in the industry!",https://www.eventbrite.com/e/lcpe24-tickets-850664489387,paris
NA,Sold out,NA,NA,139.76,199.99,EUR,We Discover Paris,https://schema.org/EventScheduled,2024-03-08T22:55:00Z,2024-03-10T21:30:00Z,Weekend Amsterdam & villages typiques | 9-10 mars,Weekend Amsterdam & villages typiques | 9-10 mars,https://www.eventbrite.fr/e/weekend-amsterdam-villages-typiques-9-10-mars-tickets-728763279587,paris
6 jours 3 heures,Billets électroniques sur mobile,Contactez l'organisateur pour demander un remboursement.,"Que peuvent avoir en commun ces deux courants philosophiques nés au cœur de l’Orient, pour l’un et au cœur de l’Occident, pour l’autre ? Ils développent une philosophie de vie, fondée sur des comportements éthiques qui prônent la maîtrise de soi pour parvenir à s’harmoniser au quotidien avec l’Univers et les autres. Leurs enseignements peuvent aussi nous être de grande utilité dans un monde d’incertitude et de transition où nous devons plus que jamais relever des défis majeurs pour l’homme et la Nature. Par Sophie Pons et Stéphane Cozian, formateurs en philosophie pratique à Nouvelle Acropole Paris 15. Tarif plein : 10€ / tarif réduit : 6€",6,10,EUR,Nouvelle Acropole Paris 15,https://schema.org/EventScheduled,2024-03-06T18:30:00Z,2024-03-12T21:30:00Z,Bouddhisme et stoïcisime : exercices pour la vie quotidienne.,"Deux philosophies aux aspects pratiques, applicables à la vie de tous les jours.",https://www.eventbrite.fr/e/billets-bouddhisme-et-stoicisime-exercices-pour-la-vie-quotidienne-817583824227,paris
