Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contact the organiser to request a refund.,"The best cooking class in the ancient neighborhood of Rome, Trastevere, with Ilaria Sparla. Ilaria is a professional Italian chef who comes from three generations of family cooks. In this experience she will teach you and she will cook Roman recipes with you in her private home and in her garden. You will be able to appreciate and savor the flavors of ancient Roman cuisine in an unrepeatable culinary experience. Ilaria is always ready to create vegetarian dishes for you with her family's recipes! When the weather is nice we will use, for lunch and for dinner, my private garden especially during the summer time.   What to expect We will start with an aperitif based on local products then we will knead flour and fresh organic eggs to prepare fresh pasta together.  Create your own dessert from a family recipe, and savor your creations paired with a bottle of Italian wine. Ilaria will show you all the secrets for an excellent result. At the end of the lesson you can enjoy lunch or dinner. Example menu   Starter welcome aperitif with fresh toasted bread, fresh organic cherry tomatoes and local 0 km extra virgin olive oil. Pecorino romano cheese with walnuts and honey. Fried artichokes, typical recipe of Jewish-Roman cuisine.   Main course  Fettuccine Cacio e Pepe and Tonnarelli with organic and fresh cherry tomato sauce Dessert  A special Tiramisu made with a traditional family recipe, top secret!   Drinks: Organic and local wine, water and moka coffee!   All included in the price.",70.58,70.58,EUR,Ilaria,https://schema.org/EventScheduled,2024-03-11T09:30:00Z,2024-03-11T12:30:00Z,Let's cook and eat together with a Real Italian Chef in Trastevere,"THE BEST COOKING CLASS WITH A PROFESSIONAL ITALIAN CHEF! LUNCH OR DINNER, DESSERT & OPEN WINE BAR INCLUDED",https://www.eventbrite.com/e/lets-cook-and-eat-together-with-a-real-italian-chef-in-trastevere-tickets-746096935017,roma
NA,Sold out,Refunds up to 7 days before event,"The Gruppo Storico Romano in collaboration with the gladiators of his Gladiator School offers short courses of gladiatura , daily or weekly , with preparation and personal training programs. At the end of the period of preparation, the aspiring gladiator, if deemed appropriate, and his choice, will continue the learning phase and then become part of the Gladiator School in Rome, the first school ever to teach the discipline of art as well old but still quite charming . If you also want to become a gladiator, even if only for a day, and you’d like to relive the same emotions as two thousand years ago, come see us in Via Appia Antica 18 and you will enter in the story.  You’ll discover the secrets of Imperial Rome’s gladiator games, get hands-on with ancient Roman history and have the best fun you can imagine! In addition, we will give you the opportunity to visit the Historical Museum – Didactic of our Association, and wear armor true by simulating battles with teachers and young people like you who wish to try their hand at this new ” sport.” You’ll spend a couple of hours with very close-knit friends who wish to expand and grow the Gladiator School in Rome.",120,388.34,EUR,Gruppo Storico Romano,https://schema.org/EventScheduled,2024-03-11T08:00:00Z,2024-03-11T10:00:00Z,Gladiator School,"Un tuffo nel passato, vivi l'emozione di sentirti parte della storia che ha affascinato il mondo intero",https://www.eventbrite.it/e/gladiator-school-tickets-207757617627,roma
NA,Sold out,Contact the organizer to request a refund.,NA,106.86,106.86,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T09:00:00Z,2024-03-11T12:00:00Z,A Sip and Savor Stroll in Rome - Food Tours by Cozymeal™,"Learn all about Rome's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “A Sip and Savor Stroll in Rome”, with Guide Jorge or Local Guide for a fun 3-hour experience with 8 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit A Sip and Savor Stroll in Rome",https://www.eventbrite.com/e/a-sip-and-savor-stroll-in-rome-food-tours-by-cozymealtm-tickets-780336235687,roma
NA,Sold out,Contact the organizer to request a refund.,"A 60 second glance at each artefact in the Vatican Museums and the Sistine Chapel would cost you 13 years of your life! To make sure you don’t leave with grey hair, this escape game will guide you through a hand-picked collection of highlights and intriguing artefacts found in the museums. It will also provide you with a comprehensive and entertaining history of its many wonders. You’re a click away from unlocking our most exciting Vatican experience! Please note that the opening hours for the Vatican Museum are the following: Mon - Thu 8:30 - 18:30 Fri - Sat 8:30 - 22:30 Sun - Closed ! Important disclaimer: please note that this game can only be played if you have purchased entry tickets to the Vatican Museums. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Vatican Museums & The Sistine Chapel: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/vatican-museums-the-sistine-chapel-outdoor-escape-game-tickets-730847142477,roma
NA,Sold out,Contact the organizer to request a refund.,"Explore the Pantheon, the Colosseum, and the secret sites of Rome through a fascinating walking tour! During the tour you will help the Roman Emperor to gradually understand the meaning of his dreams. You will use your phone to follow clues and solve puzzles in Rome's most beautiful landmarks while learning about their history. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO  The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,29.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Rome Outdoor Escape Game: The Emperor's Dream,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/rome-outdoor-escape-game-the-emperors-dream-tickets-654320017787,roma
NA,Sold out,Contact the organizer to request a refund.,"Are you ready for a mysterious tour through the most beautiful park of Rome?  During this fascinating quest through the idyllic park of Villa Borghese, you will encounter some fantastic art and interesting personas as you meet many Sad Souls who will tell you the history of the park through their eyes. But are you able to help them, as well? This self-guided tour will be full of challenges, clues and puzzles. It is the ideal way to get away from the crowds and turn a walk in the park into a real adventure! The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO  The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,29.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Rome Outdoor Escape Game: The Sad Souls of Villa Borghese,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/rome-outdoor-escape-game-the-sad-souls-of-villa-borghese-tickets-541024818797,roma
NA,Sold out,Contatta l'organizzatore per richiedere un rimborso.,"Join Chef Ilaria for an authentic cooking class, you will learn how to prepare fresh pasta with famous Italian sauces from scratch. After meeting Ilaria in her home, she will welcome you to show you the art of making pasta. By booking the lesson you will be able to learn: how to make pasta dough filled pasta (such as ravioli, tortellini, agnolotti, cappelletti and more) long pasta (such as fettuccine, spaghetti, tagliolini) how to make a pasta filling how to make sauces everything will be accompanied by excellent Italian wine.  After this lesson, fresh pasta will be your culinary skill! Ilaria will provide you with only the freshest, local, small-produce ingredients to show you how to make famous pasta sauces. Being a Roman chef, Ilaria's main sauces are Amatriciana, Carbonara, Cacio e Pepe, Puttanesca and more. At the end of the course we will eat everything we have prepared together and there will be a surprise dessert prepared by the chef! So, what are you waiting for? Join the course and come learn how to make pasta with Ilaria!",54.56,54.56,EUR,Ilaria,https://schema.org/EventScheduled,2024-03-11T09:30:00Z,2024-03-11T12:30:00Z,The Pasta Party,"ARE YOU READY FOR THIS UNIQUE PASTA COURSE? WE WILL PREPARE RAVIOLI, FETTUCCINE AND MORE! LUNCH OR DINNER, DESSERT & WINE INCLUDED",https://www.eventbrite.com/e/biglietti-the-pasta-party-812524090427,roma
NA,Sold out,Refunds up to 1 day before event,"Experience the thrilling adventure of rafting through the heart of Rome with our exciting tour! The meeting point is conveniently located near the large Porta del Popolo, just a short walk from the Flaminio metro station. Once we arrive, our expert guides will provide a comprehensive safety briefing, covering everything from proper boat behavior to paddle commands, paddling techniques, equipment, and what to do in case of an emergency. Once we're geared up and ready to go, we'll embark on a tranquil river descent, leaving behind the city's hustle and bustle to explore the Tiber River's beautiful scenery. Our journey takes us past ancient and modern bridges, and after a bend, we'll come face-to-face with the majestic Castel S. Angelo and the impressive Cupolone in the background! This is an unparalleled view that you don't want to miss! As we continue down the river, we'll arrive at the Tiber Island, where the ferry takes the right branch and stops shortly after the Garibaldi Bridge. We'll take the left branch and encounter the exciting rapids under the Garibaldi and Fabricio Bridges, both ancient Roman bridges. Finally, our journey takes us under the only remaining arch of Ponte Rotto, leading us to the right bank's Ripa Grande Port. The entire tour lasts approximately two hours, and throughout the journey, we'll be surrounded by Rome's breathtaking views. Join us for an unforgettable experience that combines adventure, excitement, and history in the heart of Rome. Our experienced guides will ensure your safety while providing valuable insights into Rome's rich history and culture. Don't miss out on this once-in-a-lifetime opportunity to explore Rome from a unique perspective!",59,59,EUR,Naples Together,https://schema.org/EventScheduled,2024-03-11T09:30:00Z,2024-03-11T11:30:00Z,Rome Rafting Experience in the Tiber River,Experience the thrill of rafting through the heart of Rome with our expert guides!,https://www.eventbrite.com/e/rome-rafting-experience-in-the-tiber-river-tickets-818901635837,roma
NA,Sold out,Contact the organizer to request a refund.,"Follow in the steps of character Robert Langdon in ""Angels and Demons"" on this downloadable quest. Walk around Rome, solving games and clues to unlock the next destination, revealed on your smartphone. You can immerse yourself in Langdon's story as well as the history of Rome, moving at your own pace and taking as long as you like. On this unique Rome walk, you will visit the most important Rome attractions while solving a mission as Robert Langdon. You will use your phone to follow clues and solve puzzles in your surroundings while discovering Rome landmarks such as Castel Sant’Angelo, St. Peter’s Square, or the Trevi Fountain. This Angels and Demons tour shaped like an exploration game will take you on an unconventional Rome tour which teaches you fun and fascinating bits of history about each place visited as you play around the city. Give this Angels and Demons tour a try and you can be sure that your entire family will absolutely love it, it’s fun for any age! There’s something in it for everyone. How’s this different from a normal Rome Tour? You will solve entertaining clues and puzzles found in your surroundings You will be able to have a coffee or ice-cream break whenever you want, with the option to resume at any time You will have complete privacy, there’s no guide or groups involved You will play the role of Robert Langdon from the Angels and Demons movie and novel while you explore the most impressive Rome attractions. Your mission is to find all the clues that will help you solve the mystery of the recently kidnapped cardinals. This is a mission only you can complete, so brace yourself and get cracking on this new case! Full flexibility: start at any hour, take a break at any time and resume later This is always available. It's 24/7, every day of the week. This is the safest event you can book: private, no human contact, you will avoid crowds. Play offline: you DON'T NEED an internet connection to play this city game. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO  The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 130 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 300 different experiences created by a growing network of local content creators and event organizers.",11.99,34.99,USD,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Rome Outdoor Escape Game: Angels and Demons Illuminati Hunt,"Follow in the steps of character Robert Langdon in ""Angels and Demons""! Walk around Rome, solving clues to unlock the next destination.",https://www.eventbrite.com/e/rome-outdoor-escape-game-angels-and-demons-illuminati-hunt-tickets-467441900307,roma
NA,Sold out,Refunds up to 7 days before event,"TIME IS OPEN! OPEN YOUR MIND. NO ONE CAN STOP YOU UNLESS YOU DECIDE. TIME IS OPEN! WE DON’T NEED TO BE HERE, THE ONLY TIME THAT KEEPS US LIMITED, ARE TIMES OF FEAR. TIME IS OPEN! IT IS WITHIN EVERY BREATH, & WITHIN EVERY HEARTBEAT. TIME IS OPEN! IT HAS MORE THAN 24 HOURS IN ITS DAY, THAT TIME IS YOURS, SO BE FOOLED NOT, BY WHAT PEOPLE SAY. TIME IS OPEN! STOP SITTING AROUND, FOR THE LIGHT, THE AIR, THE WATER, AND ITS FIRE IS YOUR GROUND, SO RISE AND SEE THEM AND MAKE THEM SOUND. TIME IS OPEN! IT IS THE EYE OF THE INVENTOR, THE PAINTER, THE STORYTELLER, AND THE CREATOR. TIME IS OPEN! ITS GATES ARE RAINBOWS OF LIFES LIGHT, THAT ARE HERE, THERE, AND EVERYWHERE. TIME IS OPEN! IT DOESN’T LIE, NOR DOES IT STEAL, FEEL ITS TRUTH FEEL ITS ASPIRATIONS AND SEE TIMES INSPIRATIONS. TIME IS OPEN! I STAND AT TIMES UNIVERSAL GATES AT THE 5TH DIMENSION, AND YOU TOO LIKE ME CAN STAND HERE AND BE ITS KEEPER. TIME IS OPEN! YOUR TRUE IDENTITIES ARE ALWAYS HERE, THEY LISTEN INTENTLY FOR YOUR MUSIC TO FIND YOU, BUT THERE IS NOTHING TO HERE. TIME IS OPEN. YOU ARE NOT YOUR NAME, YOU ARE THE GENESIS OF CONSCIOUSNESS, AND IT IS THIS MUSIC, THAT YOU MUST PROCLAIM. ""I AM NOT MY NAME, I AM THE WAVE OF TIMES GENESIS! "" ""I AM NOT MY NAME, I AM A WAVE OF TIMES GENESIS!"" YOU ARE TIMES SCENT, YOU ARE TIMES TASTE, YOU ARE TIMES TOUCH, AND YOU ARE TIMES SOUND. AND WHEN TIME IS OPENED AROUND THE THOUGHTS IN THIS LIFE WE HOLD, THE GATES OF THE 4TH DIMENSION AND OUR MINDS WILL UNFOLD, AS BEACONS OF LIGHT, MAKING US BOLD. WHEN TIMES CLOCK IS OPEN, WE DON’T CHASE TIME, TIME COMES INTO LIFE AS VISIONS AND TOKENS. Meta Tech Organica – Excited about New Dimensions of LIVING. Mind ReMapping N.B. ALL EVENTS ARE ONLINE",14.99,44.99,GBP,Gavin  Gooden,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:30:00Z,QUADRILATERAL THINKING  - TIME IS OPEN !  - ONLINE - Rome,"The MIND ReMapping  Philosophy: ""Be so Creatively removed from reality, that the Mind has no choice, but to come out of hiding….""",https://www.eventbrite.co.uk/e/quadrilateral-thinking-time-is-open-online-rome-tickets-656981087117,roma
