Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,url,City,Subtitle
3 horas,Boletos electrónicos móviles,NA,NA,0,0,USD,CACOFÓNICO,https://schema.org/EventScheduled,2024-03-12T00:00:00Z,2024-03-12T03:00:00Z,prueba concierto,https://www.eventbrite.com/e/prueba-concierto-tickets-817498809947,lima,NA
NA,Sold out,NA,"The arrival of the Spanish empire in the sixteenth century with the founding of the city of Lima has left us an important legacy that we can still appreciate today. We will walk through its oldest streets and discover among history, legends and curiosities, the instability and power of an era. Price: A free tour is a visit in which a fixed price is not stipulated at the beginning. It is the attendees who decide the price of the activity at the end with their contribution to the guide. These activities continue to be carried out thanks to this contribution. Meeting point: We will be waiting for you at the point indicated on the google map, Plaza Kennedy, Miraflores. The visit takes place with a minimum of confirmed attendees, in case of not reaching that minimum you will be notified of the cancellation. If you have a group with different interest you cannot join the free tour, even if the visit is done separately. Ask us to make an appointment for your Group Tour (only your group) by sending us a booking message.",0,0,USD,Viajens Machupicchu,https://schema.org/EventScheduled,2024-03-11T14:00:00Z,2024-03-11T16:30:00Z,Free Walking Tour Lima,https://www.eventbrite.com/e/free-walking-tour-lima-tickets-717272680897,lima,"We travel to the XVI century, where a small millenary town became the capital of all Hispanic South America. ¡Guiado también en español!"
